tt0111161 | The Shawshank Redemption
tt0068646 | The Godfather
tt0468569 | The Dark Knight
tt0071562 | The Godfather Part II
tt0050083 | 12 Angry Men
tt0108052 | Schindler's List
tt0167260 | The Lord of the Rings: The Return of the King
tt0110912 | Pulp Fiction
tt0120737 | The Lord of the Rings: The Fellowship of the Ring
tt0060196 | The Good, the Bad and the Ugly
tt0137523 | Fight Club
tt0109830 | Forrest Gump
tt0080684 | The Empire Strikes Back
tt1375666 | Inception
tt0167261 | The Lord of the Rings: The Two Towers
tt0099685 | Goodfellas
tt0073486 | One Flew Over the Cuckoo's Nest
tt0133093 | The Matrix
tt0114369 | Se7en
tt0816692 | Interstellar
tt0102926 | The Silence of the Lambs
tt0034583 | Casablanca
tt0120815 | Saving Private Ryan
tt0088763 | Back to the Future
tt0076759 | Star Wars: A New Hope
tt0103064 | Terminator 2: Judgment Day
tt0118799 | Life Is Beautiful
tt0245429 | Spirited Away
tt0120689 | The Green Mile
tt6751668 | Parasite
tt0110413 | Léon: The Professional
tt0253474 | The Pianist
tt0172495 | Gladiator
tt0114814 | The Usual Suspects
tt0407887 | The Departed
tt2582802 | Whiplash
tt0482571 | The Prestige
tt0120586 | American History X
tt0110357 | The Lion King
tt1853728 | Django Unchained
tt1345836 | The Dark Knight Rises
tt0993846 | The Wolf of Wall Street
tt0435761 | Toy Story 3
tt4154796 | Avengers: Endgame
tt4154756 | Avengers: Infinity War
tt7286456 | Joker
tt1745960 | Top Gun: Maverick
tt1517268 | Barbie
tt15398776 | Oppenheimer
tt0114709 | Toy Story
tt0120363 | Toy Story 2
tt0317705 | The Incredibles
tt0910970 | WALL-E
tt1049413 | Up
tt2096673 | Inside Out
tt2380307 | Coco
tt4633694 | Spider-Man: Into the Spider-Verse
tt9362722 | Spider-Man: Across the Spider-Verse
tt0116629 | Independence Day
tt0139654 | Training Day
tt0105236 | Reservoir Dogs
tt0095765 | Cinema Paradiso
tt0112573 | Braveheart
tt0120338 | Titanic
tt0121766 | Star Wars: Episode III - Revenge of the Sith
tt0083866 | E.T. the Extra-Terrestrial
tt0082971 | Raiders of the Lost Ark
tt0097576 | Indiana Jones and the Last Crusade
tt0107290 | Jurassic Park
tt0369610 | Jurassic World
tt0499549 | Avatar
tt1630029 | Avatar: The Way of Water
tt0372784 | Batman Begins
tt1877830 | The Batman
tt0106977 | The Fugitive
tt0209144 | Memento
tt0361748 | Inglourious Basterds
tt1130884 | Shutter Island
tt0120735 | The Fifth Element
tt0180093 | Requiem for a Dream
tt0246578 | Donnie Darko
tt0119217 | Good Will Hunting
tt0325980 | Pirates of the Caribbean: The Curse of the Black Pearl
tt0449088 | Pirates of the Caribbean: At World's End
tt0417741 | Harry Potter and the Half-Blood Prince
tt1201607 | Harry Potter and the Deathly Hallows: Part 2
tt0259446 | My Big Fat Greek Wedding
tt0338013 | Eternal Sunshine of the Spotless Mind
tt0054215 | Psycho
tt0103639 | Aladdin
tt0266543 | Finding Nemo
tt0317219 | Cars
tt1048185 | A Beautiful Mind
tt0113243 | The Lion King
tt0120685 | The Green Mile
tt0073195 | Jaws
tt0078788 | Apocalypse Now
tt0070047 | The Exorcist
tt0071853 | Monty Python and the Holy Grail
tt0081505 | The Shining
tt0088847 | The Princess Bride
tt0090605 | Aliens
tt0091251 | Indiana Jones and the Temple of Doom
tt0095016 | Die Hard
tt0095953 | Rain Man
tt0096895 | Batman
tt0101414 | Beauty and the Beast
tt0107048 | Groundhog Day
tt0112471 | Before Sunrise
